controller,prototype,success_rate,avg_total_steps,median_total_steps,avg_max_polynomial_fail_streak,avg_remediation_entries,avg_integer_gain,avg_polynomial_gain
AB1,A,1.0,7.88,7.0,2.63,0.0,0.0,0.4166139637580635
AB1,B,1.0,10.19,9.0,4.44,0.0,0.0,0.4349810004907104
AB1,C,1.0,9.52,9.0,3.65,0.0,0.0,0.42981733641249215
AB2,A,1.0,9.19,9.0,1.63,0.87,0.16140290626197967,0.41069726670711754
AB2,B,1.0,14.5,15.0,1.92,1.98,0.26675833744957467,0.4414633325004897
AB2,C,1.0,11.11,11.0,1.85,1.28,0.21963688016267122,0.42824203381567044
AB3,A,1.0,9.44,10.0,1.78,1.04,0.20148304774092674,0.4074865061446949
AB3,B,1.0,16.21,17.0,1.94,1.22,0.5126502404261042,0.41545079485852476
AB3,C,1.0,11.39,12.0,1.8,1.13,0.27555738721523293,0.4092210968720311
