controller,prototype,success_rate,avg_total_steps,median_total_steps,avg_max_polynomial_fail_streak,avg_remediation_entries,avg_int_sign_gain,avg_int_mul_div_gain,avg_polynomial_gain,avg_poly_sign_distribution_gain,avg_poly_expand_binomial_gain
AB1,A,0.99,14.71,15.0,3.86,0.0,0.0,0.0,0.36614368635160166,0.2402689925768696,0.26151842997406094
AB1,B,0.93,19.82,19.0,6.94,0.0,0.0,0.0,0.41337957891765215,0.2564087169433,0.27926129617674894
AB1,C,0.99,17.1,16.0,4.87,0.0,0.0,0.0,0.3885604104458441,0.2704567481092741,0.2659893686073037
AB2,A,0.97,18.68,18.5,1.91,1.97,0.20005803588841414,0.1274930953304015,0.364660450516279,0.29318597007926106,0.2410820717797704
AB2,B,0.56,25.61,28.5,2.0,3.75,0.2801026542650296,0.1682304,0.3457654100646906,0.26869003893660875,0.25173239198534175
AB2,C,0.82,22.11,22.0,1.93,2.76,0.25723972168017756,0.17694514122004473,0.35550066196629215,0.2926756161582031,0.27443502408458736
AB3,A,0.97,18.08,17.5,1.94,1.77,0.1809219676293854,0.09568571924874877,0.3838007972686816,0.2717078785780994,0.2849807653588457
AB3,B,0.53,26.52,30.0,1.99,2.34,0.33822719999999995,0.20653440000000003,0.3520380698881964,0.28024628820362874,0.26543489623578514
AB3,C,0.91,21.71,22.0,1.99,2.18,0.3042119681444572,0.14550226619681939,0.393834125007833,0.30016445373214906,0.2752051896388527
