max_steps,strategy,student_group,success_rate,avg_steps,avg_mastery,avg_mastery_gain
30,Baseline,"Careless (B+,B++)",0.94,17.26,0.805619,0.07614900000000001
30,Baseline,Average (B),0.41,27.5,0.772589,0.196492
30,Baseline,Weak (C),0.0,30.0,0.44609099999999996,0.12261100000000001
30,Rule-Based,"Careless (B+,B++)",0.92,15.56,0.8041769999999999,0.07448199999999999
30,Rule-Based,Average (B),0.44,27.48,0.772754,0.20041899999999999
30,Rule-Based,Weak (C),0.0,30.0,0.489938,0.16028900000000001
30,Adaptive (Ours),"Careless (B+,B++)",1.0,12.03,0.806906,0.077372
30,Adaptive (Ours),Average (B),0.87,23.97,0.798851,0.22745300000000002
30,Adaptive (Ours),Weak (C),0.01,29.99,0.430002,0.09862
40,Baseline,"Careless (B+,B++)",0.97,18.7,0.805421,0.076914
40,Baseline,Average (B),0.69,32.35,0.7901309999999999,0.217649
40,Baseline,Weak (C),0.0,40.0,0.48674500000000004,0.163611
40,Rule-Based,"Careless (B+,B++)",0.98,16.98,0.807744,0.077506
40,Rule-Based,Average (B),0.8,30.81,0.7988190000000001,0.224123
40,Rule-Based,Weak (C),0.0,40.0,0.5345960000000001,0.20895499999999997
40,Adaptive (Ours),"Careless (B+,B++)",1.0,12.68,0.806429,0.078338
40,Adaptive (Ours),Average (B),0.97,25.14,0.807307,0.234879
40,Adaptive (Ours),Weak (C),0.01,39.95,0.43919600000000003,0.12053000000000001
50,Baseline,"Careless (B+,B++)",1.0,19.39,0.808118,0.079312
50,Baseline,Average (B),0.87,34.4,0.80181,0.22877099999999997
50,Baseline,Weak (C),0.0,50.0,0.496116,0.177377
50,Rule-Based,"Careless (B+,B++)",0.99,16.72,0.806172,0.073884
50,Rule-Based,Average (B),0.94,33.51,0.80899,0.23335899999999998
50,Rule-Based,Weak (C),0.01,50.0,0.566433,0.24047999999999997
50,Adaptive (Ours),"Careless (B+,B++)",1.0,13.37,0.80619,0.078227
50,Adaptive (Ours),Average (B),1.0,24.47,0.8070780000000001,0.235337
50,Adaptive (Ours),Weak (C),0.13,49.21,0.467021,0.145352
