subskill_id,skill_id,skill_ch_name,chapter,section,subskill_name,concept_goal,teaching_order,difficulty_level,source_example_ids,source_types,source_descriptions,evidence_summary,prerequisite_subskill_ids,adaptive_enabled,review_required,notes
b4_ch1_factorial_eval_01,vh_數學B4_FactorialNotation,階乘記法,1 排列組合,1-1 加法原理與乘法原理,階乘數值計算,能計算基本階乘與階乘相除的值,1,1,"3628,3630","textbook_example,in_class_practice","例題5,隨堂練習5",計算 n! 或 n!/m!,,yes,yes,
b4_ch1_factorial_solve_02,vh_數學B4_FactorialNotation,階乘記法,1 排列組合,1-1 加法原理與乘法原理,階乘方程式求解,能解出包含階乘符號的簡單方程式,2,2,"3629,3631","textbook_example,in_class_practice","例題6,隨堂練習6",求滿足 n!/(n-1)! = k 的 n 值,,yes,no,
b4_ch1_mult_principle_01,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,乘法原理基本應用,能應用乘法原理計算分步驟完成的總方法數,1,1,"3621,3623,3669,3670,3625","textbook_example,in_class_practice,self_assessment,self_assessment,basic_exercise","例題3,隨堂練習3,自我評量 2,自我評量 3,1-1習題 基礎題4",依序選擇不同類別物品的搭配總數,,yes,yes,包含多步驟選擇，含needs_review題目
b4_ch1_mult_factors_02,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,正因數個數計算,能利用質因數分解與乘法原理求正因數個數,2,2,"3622,3624","textbook_example,in_class_practice","例題4,隨堂練習4",計算給定數字的正因數總數,,yes,no,
b4_ch1_mult_digits_03,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,數字排法乘法原理,能利用乘法原理計算特定條件的數字排列數,3,2,3671,self_assessment,自我評量 4,從區間內找出位數不重複的數字個數,,yes,yes,
b4_ch1_tree_diagram_01,vh_數學B4_TreeDiagramCounting,樹狀圖,1 排列組合,1-1 加法原理與乘法原理,樹狀圖計數,能畫出樹狀圖並計算所有可能情形,1,1,"3614,3615,3616,3617","textbook_example,in_class_practice,basic_exercise,advanced_exercise","例題1,隨堂練習1,1-1習題 基礎題1,1-1習題 進階題10",比賽勝負、硬幣投擲、數字排列等情形列舉,,no,no,需要畫圖列舉，較難自適應純數值檢查
b4_ch1_perm_linear_01,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,直線全排列,能計算n個不同事物的直線全排列數,1,1,"3599,3604","textbook_example,in_class_practice","例題1,隨堂練習1",n個人或字母排成一列,,yes,yes,
b4_ch1_perm_formula_02,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,排列符號計算,"能計算P(n,r)符號的數值",2,1,"3600,3605","textbook_example,in_class_practice","例題2,隨堂練習2","計算P(n,r)的值",,yes,yes,
b4_ch1_perm_select_03,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,選取排列,能從n個事物選取r個進行排列,3,2,"3601,3606","textbook_example,in_class_practice","例題3,隨堂練習3",選出r個事物擔任不同職位或安排順序,,yes,no,
b4_ch1_perm_digits_04,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,數字選取排列,能從給定數字中選取排成指定條件的數字,4,2,3602,textbook_example,例題4,排成不重複的奇偶數,,yes,no,
b4_ch1_perm_adjacent_05,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,相鄰與不相鄰排列,能計算包含相鄰或不相鄰條件的排列數,5,3,3603,textbook_example,例題5,特定對象必須相鄰或不相鄰的排法,,yes,no,
b4_ch1_repeated_choice_01,vh_數學B4_PermutationWithRepetition,重複排列,1 排列組合,1-3 重複排列,重複選擇基本計數,能計算多個人或位置各自可重複選擇某類選項的總結果數,1,2,"3681,3682","self_assessment,self_assessment","自我評量 14,自我評量 15",每個人或每個位置都有相同選擇數，總數為 m^n,,yes,yes,此類題為重複排列/獨立重複選擇，不是不盡相異物排列
b4_ch1_rep_perm_digits_01,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,數字重複排列,能計算可重複選取的數字排法,1,1,"3632,3635,3638","textbook_example,in_class_practice,basic_exercise","例題 1,隨堂練習 1,1-3 習題 基礎題 2",數字可重複選取排成多位數，含奇偶條件,,yes,no,
b4_ch1_rep_perm_assign_02,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,重複排列分派問題,能計算事物重複分派的方法數,2,2,"3633,3634,3636,3637,3639","textbook_example,textbook_example,in_class_practice,in_class_practice,basic_exercise","例題 2,例題 3,隨堂練習 2,隨堂練習 3,1-3 習題 基礎題 6",泡湯選擇、分獎品、搭船、猜拳等分派,,yes,no,
b4_ch1_comb_basic_01,vh_數學B4_Combination,組合,1 排列組合,1-4 組合,組合基本計數,能利用組合與乘法原理計算搭配數,1,1,"3683,3684,3686","self_assessment,self_assessment,self_assessment","自我評量 16,自我評量 17,自我評量 19",顏色調配、數字和為偶數、套餐搭配,,yes,yes,
b4_ch1_comb_restrict_02,vh_數學B4_Combination,組合,1 排列組合,1-4 組合,組合限制條件選取,能計算含有至少或特定數量限制的組合選法,2,2,"3685,3687,3688","self_assessment,self_assessment,self_assessment","自我評量 18,自我評量 20,自我評量 21",特定男女數目、至少幾題或至少幾位女生的選法,,yes,yes,
b4_ch1_comb_seat_03,vh_數學B4_Combination,組合,1 排列組合,1-4 組合,組合與排列綜合應用,能結合組合與排列計算特定位置安排數,3,3,3689,self_assessment,自我評量 22,不同身分者坐在指定編號座位的排法,,yes,yes,
b4_ch1_comb_app_people_01,vh_數學B4_CombinationApplications,組合的應用,1 排列組合,1-4 組合,人員組合選取,能計算包含必選或不選條件的人員選取數,1,2,"3648,3649,3651,3652","textbook_example,textbook_example,in_class_practice,in_class_practice","例題3,例題4,隨堂練習3,隨堂練習4",選出人員、特定人員必參加或不參加,,yes,no,
b4_ch1_comb_app_geom_02,vh_數學B4_CombinationApplications,組合的應用,1 排列組合,1-4 組合,幾何組合應用,能利用組合公式計算多邊形的對角線與三角形數,2,2,"3650,3653","textbook_example,in_class_practice","例題5,隨堂練習5",計算正多邊形的對角線條數與可構成的三角形個數,,yes,no,
b4_ch1_comb_app_item_03,vh_數學B4_CombinationApplications,組合的應用,1 排列組合,1-4 組合,物品組合搭配,能從多類物品中選取特定數量的搭配方式,3,2,3654,exam_practice,113統測B,甜品選配,,yes,no,
b4_ch1_comb_def_01,vh_數學B4_CombinationDefinition,組合的定義與計算,1 排列組合,1-4 組合,組合定義基本選取,能理解並計算從n件相異物中選取r件的方法數,1,1,"3643,3645","textbook_example,in_class_practice","例題2,隨堂練習2",作答選題與電扇展示選取,,yes,no,
b4_ch1_comb_prop_01,vh_數學B4_CombinationProperties,組合的性質,1 排列組合,1-4 組合,巴斯卡組合性質,能利用組合性質化簡計算,1,2,"3646,3647","textbook_example,in_class_practice","例題6,隨堂練習6",計算組合數相加的值,,yes,yes,
b4_ch1_binomial_id_01,vh_數學B4_BinomialCoefficientIdentities,二項式係數性質,1 排列組合,1-5 二項式定理,二項式係數總和,能計算二項式係數之和,1,2,"3665,3666,3667","textbook_example,in_class_practice,advanced_exercise","例題 4,隨堂練習 4,1-5習題 進階題10","求組合數C(n,0)到C(n,n)之和",,yes,yes,
b4_ch1_binomial_expand_01,vh_數學B4_BinomialTheorem,二項式定理,1 排列組合,1-5 二項式定理,二項式完全展開,能利用二項式定理完全展開二項式,1,1,"3656,3659","textbook_example,in_class_practice","例題 1,隨堂練習 1",展開 (x+a)^n,,yes,no,
b4_ch1_binomial_coeff_02,vh_數學B4_BinomialTheorem,二項式定理,1 排列組合,1-5 二項式定理,二項式特定項係數,能利用二項式定理求特定項的係數,2,2,"3657,3658,3660,3661,3690","textbook_example,textbook_example,in_class_practice,in_class_practice,self_assessment","例題 2,例題 3,隨堂練習 2,隨堂練習 3,自我評量 23",求展開式中特定次方的係數,,yes,yes,
b4_ch1_binomial_solve_n_03,vh_數學B4_BinomialTheorem,二項式定理,1 排列組合,1-5 二項式定理,已知組合數求參數,能利用組合數已知值反求參數n,3,2,3691,self_assessment,自我評量 24,已知組合數數值求n,,yes,yes,
b4_ch1_pascal_tri_01,vh_數學B4_PascalTriangle,巴斯卡三角形,1 排列組合,1-5 二項式定理,巴斯卡三角形推導,能理解並寫出巴斯卡三角形的特定列數值,1,1,3655,textbook_example,動動手,推導第五列與第六列,,no,no,純概念展示填空，較難自適應追蹤
b4_ch1_add_principle_01,vh_數學B4_AdditionPrinciple,加法原理,1 排列組合,1-1 加法原理與乘法原理,互斥分類選擇加法原理,能將互斥分類的選擇方法數相加，求總方法數,1,1,"3618,3619,3668,3620","textbook_example,in_class_practice,self_assessment,basic_exercise","例題2,隨堂練習2,自我評量 1,1-1習題 基礎題2",從多個互斥類別中選一個對象或方法，總數為各類方法數相加,,yes,yes,自我評量題 needs_review，但題意清楚，可先納入模板候選。不要因「代表」二字誤判為表格題。
