skill_id,skill_ch_name,chapter,section,textbook_example_count,in_class_practice_count,self_assessment_count,basic_exercise_count,advanced_exercise_count,exam_practice_count,textbook_practice_count,total_question_count,needs_review_count,formula_missing_count,has_prerequisite_data,has_family_bridge_data,notes
vh_數學B4_AdditionPrinciple,加法原理,1 排列組合,1-1 加法原理與乘法原理,1,1,1,1,0,0,0,4,1,0,no,no,
vh_數學B4_FactorialNotation,階乘記法,1 排列組合,1-1 加法原理與乘法原理,2,2,0,0,0,0,0,4,2,0,no,no,
vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,2,2,3,1,1,1,0,10,4,0,no,no,
vh_數學B4_TreeDiagramCounting,樹狀圖,1 排列組合,1-1 加法原理與乘法原理,1,1,0,1,1,0,0,4,0,0,no,no,
vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,5,5,7,0,0,1,0,18,10,0,no,no,
vh_數學B4_PermutationOfNonDistinctObjects,不盡相異物的排列,1 排列組合,1-2 直線排列,2,2,2,0,0,0,0,6,3,0,no,no,
vh_數學B4_PermutationWithRepetition,重複排列,1 排列組合,1-3 重複排列,0,0,2,0,0,0,0,2,2,0,no,no,
vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,3,3,0,2,1,1,0,10,1,0,no,no,
vh_數學B4_Combination,組合,1 排列組合,1-4 組合,0,0,7,0,0,0,0,7,7,0,no,no,
vh_數學B4_CombinationApplications,組合的應用,1 排列組合,1-4 組合,3,3,0,0,0,1,0,7,0,0,no,no,
vh_數學B4_CombinationDefinition,組合的定義與計算,1 排列組合,1-4 組合,1,1,0,0,0,0,0,2,0,0,no,no,
vh_數學B4_CombinationProperties,組合的性質,1 排列組合,1-4 組合,1,1,0,0,0,0,0,2,2,0,no,no,
vh_數學B4_BinomialCoefficientIdentities,二項式係數性質,1 排列組合,1-5 二項式定理,1,1,0,0,1,0,0,3,3,0,no,no,
vh_數學B4_BinomialTheorem,二項式定理,1 排列組合,1-5 二項式定理,3,3,3,1,1,1,0,12,5,0,no,no,
vh_數學B4_PascalTriangle,巴斯卡三角形,1 排列組合,1-5 二項式定理,1,0,0,0,0,0,0,1,0,0,no,no,
vh_數學B4_BasicConceptsOfSets,集合的基本概念,2 機率,2-1 樣本空間與事件,4,2,1,1,2,0,0,10,5,0,no,no,
vh_數學B4_SampleSpaceAndEvents,樣本空間與事件,2 機率,2-1 樣本空間與事件,2,2,6,2,0,1,0,13,7,0,no,no,
vh_數學B4_ConditionalProbability,條件機率,2 機率,2-2 機率的運算,2,2,0,1,0,0,0,5,3,0,no,no,
vh_數學B4_IndependentEvents,獨立事件,2 機率,2-2 機率的運算,1,1,0,1,0,1,0,4,3,0,no,no,
vh_數學B4_ProbabilityDefinition,機率的定義,2 機率,2-2 機率的運算,6,5,0,2,2,0,0,15,4,1,no,no,
vh_數學B4_ProbabilityOperations,機率的運算,2 機率,2-2 機率的運算,0,0,9,0,0,0,0,9,9,0,no,no,
vh_數學B4_ProbabilityProperties,機率的性質,2 機率,2-2 機率的運算,3,3,0,1,0,0,0,7,5,0,no,no,
vh_數學B4_ApplicationsOfExpectation,數學期望值的應用,2 機率,2-3 數學期望值,2,2,0,3,2,1,0,10,2,0,no,no,
vh_數學B4_MathematicalExpectation,數學期望值,2 機率,2-3 數學期望值,0,0,5,0,0,0,0,5,5,0,no,no,
vh_數學B4_MathematicalExpectationDefinition,數學期望值的定義與計算,2 機率,2-3 數學期望值,2,2,0,5,0,0,0,9,1,0,no,no,
vh_數學B4_SamplingMethods,抽樣方法,3 統計,3-1 統計的基本概念,1,1,3,7,2,1,0,15,7,2,no,no,
vh_數學B4_SamplingSurvey,抽樣調查,3 統計,3-1 統計的基本概念,0,0,0,1,0,0,1,2,2,0,no,no,
vh_數學B4_StatisticalBasicConcepts,統計的基本概念,3 統計,3-1 統計的基本概念,0,0,0,0,0,0,0,0,0,0,no,no,
vh_數學B4_CumulativeFrequencyTablesAndGraphs,累積次數分配表與累積次數分配折線圖,3 統計,3-2 統計資料整理,1,2,0,2,0,0,0,5,4,0,no,no,
vh_數學B4_DataOrganizationAndCharts,資料整理與圖表編製,3 統計,3-2 統計資料整理,0,0,0,0,0,1,0,1,1,0,no,no,
vh_數學B4_FrequencyDistributionTableConstruction,統計資料的次數分配表編製步驟,3 統計,3-2 統計資料整理,1,1,0,2,0,0,0,4,3,0,no,no,
vh_數學B4_HistogramsAndFrequencyPolygons,次數分配直方圖與次數分配折線圖的繪製,3 統計,3-2 統計資料整理,1,1,0,1,1,0,0,4,4,0,no,no,
vh_數學B4_StatisticalChartReading,統計圖表判讀,3 統計,3-2 統計資料整理,0,0,3,0,0,0,0,3,3,0,no,no,
vh_數學B4_CentralTendencyMeasures,集中趨勢量數,3 統計,3-3 統計量分析,3,1,4,3,0,0,0,11,4,0,no,no,
vh_數學B4_DispersionMeasures,離散趨勢量數,3 統計,3-3 統計量分析,1,1,2,1,0,0,0,5,3,0,no,no,
vh_數學B4_LinearTransformationOfData,資料的線性變換,3 統計,3-3 統計量分析,1,1,4,1,0,1,0,8,8,2,no,no,
vh_數學B4_NormalDistributionAndEmpiricalRule,常態分配與經驗法則,3 統計,3-3 統計量分析,1,1,2,1,1,0,0,6,4,0,no,no,
vh_數學B4_OpinionPollInterpretation,民意調查的解讀,3 統計,3-3 統計量分析,1,1,0,0,0,0,0,2,1,0,no,no,
vh_數學B4_VarianceAndStandardDeviation,變異數與標準差,3 統計,3-3 統計量分析,1,1,1,2,0,0,0,5,2,0,no,no,
vh_數學B4_WeightedMean,加權平均數,3 統計,3-3 統計量分析,1,1,0,1,0,0,0,3,1,0,no,no,
