student_type,subskill,avg_initial_mastery,avg_final_mastery,avg_gain
Careless,sign_handling,0.6852,0.8582,0.173
Careless,combine_like_terms,0.6952,0.8845,0.1893
Careless,sign_distribution,0.6967,0.861,0.1643
Careless,expand_monomial,0.6735,0.8659,0.1924
Careless,expand_binomial,0.7092,0.8687,0.1594
Careless,family_isomorphism,0.6903,0.8485,0.1582
Weak,sign_handling,0.3295,0.6564,0.3268
Weak,combine_like_terms,0.3142,0.665,0.3509
Weak,sign_distribution,0.3242,0.6395,0.3152
Weak,expand_monomial,0.3326,0.5752,0.2425
Weak,expand_binomial,0.3308,0.5653,0.2345
Weak,family_isomorphism,0.3256,0.5144,0.1888
Average,sign_handling,0.6869,0.8542,0.1673
Average,combine_like_terms,0.6212,0.8602,0.239
Average,sign_distribution,0.581,0.8485,0.2675
Average,expand_monomial,0.5272,0.8435,0.3164
Average,expand_binomial,0.4834,0.8565,0.3731
Average,family_isomorphism,0.4409,0.8421,0.4012
